groupname;groupingname
English courses, jún. 05. hétfő, 8:00-10:00, QB203;sessions
English courses, jún. 05. hétfő, 10:00-12:00, QB203;sessions
English courses, jún. 05. hétfő, 12:00-14:00, QB203;sessions
English courses, jún. 05. hétfő, 14:00-16:00, QB203;sessions
English courses, jún. 05. hétfő, 16:00-18:00, QB203;sessions
English courses, jún. 06. kedd, 8:00-10:00, QB203;sessions
English courses, jún. 06. kedd, 10:00-12:00, QB203;sessions
Hardver és firmware, mechatronika, jún. 06. kedd, 12:00-14:00, QB203;sessions
Hardver és firmware, mechatronika, jún. 06. kedd, 14:00-16:00, QB203;sessions
Hardver és firmware, mechatronika, jún. 07. szerda, 8:00-10:00, QB203;sessions
Hardver és firmware, mechatronika, jún. 07. szerda, 10:00-12:00, QB203;sessions
Hardver és firmware, mechatronika, jún. 07. szerda, 12:00-14:00, QB203;sessions
Hardver és firmware, mechatronika, jún. 07. szerda, 14:00-16:00, QB203;sessions
Hardver és firmware, mechatronika, jún. 07. szerda, 16:00-18:00, QB203;sessions
Hardver és firmware, mechatronika, jún. 08. csütörtök, 12:00-14:00, QB203;sessions
Hardver és firmware, mechatronika, jún. 08. csütörtök, 14:00-16:00, QB203;sessions
Hardver és firmware, mechatronika, jún. 08. csütörtök, 16:00-18:00, QB203;sessions
Szoftver, jún. 05. hétfő, 8:00-10:00, QBF14;sessions
Szoftver, jún. 05. hétfő, 10:00-12:00, QBF14;sessions
Szoftver, jún. 05. hétfő, 12:00-14:00, QBF14;sessions
Szoftver, jún. 05. hétfő, 14:00-16:00, QBF14;sessions
Szoftver, jún. 05. hétfő, 16:00-18:00, QBF14;sessions
Szoftver, jún. 05. hétfő, 8:00-10:00, QBF15;sessions
Szoftver, jún. 05. hétfő, 10:00-12:00, QBF15;sessions
Szoftver, jún. 05. hétfő, 12:00-14:00, QBF15;sessions
Szoftver, jún. 05. hétfő, 14:00-16:00, QBF15;sessions
Szoftver, jún. 05. hétfő, 16:00-18:00, QBF15;sessions
Szoftver, jún. 06. kedd, 8:00-10:00, QBF15;sessions
Szoftver, jún. 06. kedd, 10:00-12:00, QBF15;sessions
Szoftver, jún. 06. kedd, 12:00-14:00, QBF15;sessions
Szoftver, jún. 06. kedd, 14:00-16:00, QBF15;sessions
Szoftver, jún. 06. kedd, 16:00-18:00, QBF15;sessions
Szoftver, jún. 07. szerda, 8:00-10:00, QBF14;sessions
Szoftver, jún. 07. szerda, 10:00-12:00, QBF14;sessions
Szoftver, jún. 07. szerda, 12:00-14:00, QBF14;sessions
Szoftver, jún. 07. szerda, 14:00-16:00, QBF14;sessions
Szoftver, jún. 07. szerda, 16:00-18:00, QBF14;sessions
Szoftver, jún. 08. csütörtök, 8:00-10:00, QBF14;sessions
Tematikus szekció: Alkalmazott MI, jún. 08. csütörtök, 10:00-12:00, QBF14;sessions
Szoftver, jún. 08. csütörtök, 12:00-14:00, QBF14;sessions
Szoftver, jún. 08. csütörtök, 14:00-16:00, QBF14;sessions
Szoftver, jún. 08. csütörtök, 16:00-18:00, QBF14;sessions
Szoftver, jún. 08. csütörtök, 8:00-10:00, QBF15;sessions
Szoftver, jún. 08. csütörtök, 10:00-12:00, QBF15;sessions
Szoftver, jún. 08. csütörtök, 12:00-14:00, QBF15;sessions
Szoftver, jún. 08. csütörtök, 14:00-16:00, QBF15;sessions
Szoftver, jún. 08. csütörtök, 16:00-18:00, QBF15;sessions
Szoftver, jún. 08. csütörtök, 8:00-10:00, QB203;sessions
Szoftver, jún. 08. csütörtök, 10:00-12:00, QB203;sessions
Szoftver, jún. 09. péntek, 8:00-10:00, QBF14;sessions
Szoftver, jún. 09. péntek, 10:00-12:00, QBF14;sessions
Szoftver, jún. 09. péntek, 12:00-14:00, QBF14;sessions
Szoftver, jún. 09. péntek, 14:00-16:00, QBF14;sessions
Szoftver, jún. 09. péntek, 16:00-18:00, QBF14;sessions
Szoftver, jún. 09. péntek, 8:00-10:00, QBF15;sessions
Szoftver, jún. 09. péntek, 10:00-12:00, QBF15;sessions
Szoftver, jún. 09. péntek, 12:00-14:00, QBF15;sessions
Szoftver, jún. 09. péntek, 14:00-16:00, QBF15;sessions
Szoftver, jún. 09. péntek, 16:00-18:00, QBF15;sessions
Általános online, jún. 06. kedd, 16:00-18:00, Teams;sessions
